channel_id_x,fusion_embedding_index,cluster_id,community_id
UC-dch3BP4gKHC4cec0PU1PA,160,8,0
UC-dxlCijk41ZxR2aUc3kinQ,161,0,4
UC-eTpzTrvo9Zx6g_bQ83GgA,162,6,4
UC-elz6w4sbn_5LB37pJjTRA,163,5,7
UC-exjF2T70PJd8jAl050nkw,164,4,2
UC-f76NUQN5M-Z0cd0MOP5xw,165,4,7
UC-f7r46JhYv78q5pGrO6ivA,166,0,5
UC-fouMSM9Zot3x8Hw2_Y5yw,167,4,2
UC-fqetpMe8rFuBeQ4bpl3Jw,168,4,1
UC-fzWbU1zavz77kP1gPPdSg,169,0,8
UC-gW4TeZAlKm7UATp24JsWQ,170,5,2
UC-g_O9HWb5B0rVDG1hLd5Hw,171,4,7
UC-ga3onzHSJFAGsIebtVeBg,172,4,7
UC-gtSBvnDPCZ7PuTJ6T-68Q,173,6,1
UC-h7O5eERbl6lLuOgYJ0GbQ,174,6,12
UC-hVdQvK3h7WowzTeH97Yyw,175,6,5
UC-hWvVvE-crFl5vg5G8QbqA,176,4,8
UC-hzoAk2bSnoqW0LmECa5WA,177,0,8
UC-i2ywiuvjvpTy2zW-tXfkw,178,4,7
UC-i6eotFMKFK2lSkKpqZwqw,179,6,4
UC-iO7T_pV8wu8wewk6BKm6Q,180,0,3
UC-ikVvfoDcZuqOjTqFDpVqw,181,6,2
UC-ir6MfYIuyvVJS_DhOhcJw,182,0,5
UC-ivJVv3GtB_w_lpk_WQxHw,183,6,4
UC-j7LP4at37y3uNTdWLq-vQ,184,6,4
UC-j7tR3DhEt85EM9HbvxXqA,185,5,9
UC-jHioVmLr8Cb1lFBIZD2hQ,186,7,12
UC-kFCSJLpxuJdgMnQz8Dvrg,187,6,1
UC-kJeqtRWBKmoe44OVhXH9A,188,0,3
UC-kOXc3gBwksVfmndSEz7jg,189,4,2
UC-kzn5xgDaXXRi_pvcZ02rQ,190,4,1
UC-l6CtDqb2JKxbM6t2uLl-A,191,0,2
UC-lHB-Be9cqDDrfYvhuNpiA,192,0,3
UC-lHJZR3Gqxm24_Vd_AJ5Yw,193,5,10
UC-lJ-F5mlPP6SYPkkq6gjwA,194,0,5
UC-lT_CdlWyLMqqKwh211maA,195,0,5
UC-lkm1huv9jCUH28E7cKmew,196,8,14
UC-mKKHytTMRpwYgK3Mq0NZg,197,6,0
UC-mYzr9LGSK7paIDZ2yWcUQ,198,6,8
UC-mw3KFSWpZnU4wW7jRZOTw,199,4,7
UC-mxnplD2WcxualV1Ie0pjA,200,4,9
UC-nIJ_VwZtHwNNQ0_O15Wpg,201,4,2
UC-nPM1_kSZf91ZGkcgy_95Q,202,4,7
UC-nPOWKFdiudqGjCDl3EOGA,203,6,0
UC-ni0xL6ILMFdzf1A2s4__A,204,0,8
UC-o4cjVkzQGJMhXyE0lkVQg,205,8,16
UC-oAkZkE0UlaJVwu3Za1iKg,206,0,4
UC-oL90F36zuhh3YelWwtGmg,207,0,14
UC-oSaKCCEffJph0F7m6_xfA,208,4,11
UC-ol6cvdiLjBn4FrGgvhdrA,209,0,14
UC-ot0zOmCSxXj2Y59oI1k5g,210,4,1
UC-pC1xsFPzcrL09DaW4jlBA,211,4,7
UC-pE29OUR43BqqBxIeyo_GA,212,4,1
UC-pOuHFcndLpyfWSPVqXt_A,213,5,16
UC-piUeiCpbAgAWaAbH7srzg,214,6,4
UC-pnSdXRsSi44apSO5RXjlw,215,5,10
UC-qSbRLINXvZBZM6CpUMDzQ,216,6,4
UC-qnqaajTk6bfs3UZuue6IQ,217,4,4
UC-r13SLLdZtZNmuC2bMnlmw,218,7,12
UC-r9a_5nAJyex30RYNPACGA,219,8,0
UC-rX_f6vueiRY0E75gBNQ0g,220,8,16
UC-rXxeb-k6k3400m16_Hsqg,221,6,10
UC-rYBLAF-W0Hx9zs5I4n0xQ,222,6,1
UC-r_iceUdMT_sl9vcR7_5nA,223,4,5
UC-sJ8u8eu_ivfzekwkue38g,224,5,2
UC-s_hG_sI02u_4k0-sOdt-w,225,8,0
UC-sjC5fKKsrpcZRJwlZJzZQ,226,5,10
UC-ssqellSXFl-BBIf57eQQA,227,0,5
UC-t85sFdhpkxqi_tKg9VXTQ,228,4,9
UC-tsNNJ3yIW98MtPH6PWFAQ,229,5,16
UC-uC8tfchhyy2tFwZJ2yXjw,230,0,8
UC-uGdDHxmwi_eH5t_ph9uuw,231,0,4
UC-uMkHLJ01xaRvh2NAervXw,232,5,14
UC-uNVV92llYIMC5-ZUF0Q4w,233,5,7
UC-vKwDHcbPLtjml81ohGRng,234,4,2
UC-v_XGitwPQchj__zn1NPiw,235,6,11
UC-w-fhQxfy1D7odDtcXD3Eg,236,4,3
UC-wBAxgUX9P0fXZ6-D0frRA,237,4,7
UC-wo9eCtm-_oSjDBFu_3JNg,238,0,3
UC-x-DwjROa7DhQvKvoqj-kg,239,5,10
UC-xjitW_J39_Q1ure2HlJew,240,5,10
UC-y8ci7xfsu4L3zkSuHae0A,241,7,12
UC-yAFI39RM_1tEWRU_VG5ww,242,0,5
UC-yGQ964cqAhlsfKV8v3vAQ,243,6,4
UC-yTB2bUcin9mmah36sXiYA,244,8,0
UC-yW8iz7ICKv_bhuxLtcJaw,245,7,12
UC-yXuc1__OzjwpsJPlxYUCQ,246,4,2
UC-yewGHQbNFpDrGM0diZOLA,247,4,2
UC-zjH-e5XBzMpy_VtwIGRxQ,248,0,8
UC-zwAo_0PsviX7-H71mbHYg,249,0,3
UC0-JZXYwd9nWnM_FUeF549Q,250,0,1
UC0-cGia5gxo2e-6CInXj7PQ,251,0,14
UC0-swBG9Ne0Vh4OuoJ2bjbA,252,4,7
UC0-xPTwPhfXnuiI7QIcev3A,253,4,5
UC0-y9lFr9HdDbctpXXVTEWA,254,0,8
UC0076UMUgEng8HORUw_MYHA,255,6,7
UC00M4ztrpj2rMwpG6nMlM8w,256,4,11
UC00duOV3iYDuMNhbV4dwLSQ,257,6,4
UC00ifCvU8YOOzbL3RdiSTDw,258,5,10
UC00q9Udz9vdljIfN-8fCkQQ,259,4,3
UC01QQQlM3CepDAvgcIseUIA,260,4,8
UC01cT8kXmbVH6-mzwaa2qIQ,261,6,4
UC02hHB8lYb5zyRjxqahtVjg,262,0,3
UC02vp6CdqGfbJFF5tYc8mOw,263,8,0
UC02zbQDpsD2GSL8tRgaVihg,264,0,3
UC03GdYOZbnLQAPDXmjc6W9g,265,4,10
UC03H7RiBSXaC_l0IRwvFWbg,266,0,5
