channel_id_x,fusion_embedding_index
UC04e1vy95lGjggcYbwgbOfw,270
UC04m8d9t8UeWZ5DuvQVnqiw,271
UC04tiq0fOxT_ALRWz-iaNow,272
UC05-Zc07tyuTIhjXsEWbYkg,273
UC05cEmAqCtRwIWwncV2gx2Q,274
UC05eluGxsI8_xf5uRC-J26Q,275
UC065Z0TfgG7o1cT7uSPWP8A,276
UC06E4Y_-ybJgBUMtXx8uNNw,277
UC06UXRnhvgWfYWnnYq2CYVQ,278
UC06hDL3xAoW5PAWFbRsA3XQ,279
UC07-dOwgza1IguKA86jqxNA,280
UC07CHp5ikd-AyafR4J2LWkA,281
UC07Kxew-cMIaykMOkzqHtBQ,282
UC07OM-NPEGph4dMnGMs_XsA,283
UC07rNeWO01xLjyNMY5cLo2A,284
UC07tUXSQhGNnN50f18HrfIA,285
UC084FSD0cO4ZOS5SonULRCQ,286
UC089A8FbH99ke1G6ea5Bi8Q,287
UC08NS8fyPpkYgnhj69fMXLg,288
UC08Ti1qPyHfHSjUnOHNlEaw,289
UC08i2mnmdrJwu-Lq4zDZKYg,290
UC09d82usokACH1z5YeKnfiA,291
UC09qASY4ixFS-KXIH6Nw0rg,292
UC09v4tfWvgh5bPce5ClPkag,293
UC0A1ZF6z8cWzWoCEt13b7Kg,294
UC0A7P5CK3JqoOq4p8BL4iFA,295
UC0AE_22J0kAo30yjasaeFqw,296
UC0ASolYU_Yh3yShLFQC0stg,297
UC0AeIM8xtiFAgT_N1inUQxQ,298
UC0AwRymrRJffcSyD-rJwATQ,299
UC0B4l05O1G5-K6Iz7SDh_ug,300
UC0BByfXByqwSKXZP0Xw52CQ,301
UC0BiHjkVyGREJcZFF-LR7cQ,302
UC0BletW9phE4xHFM44q4qKA,303
UC0Btk1N5V-k4eBfCxFbfyjA,304
UC0C-w0YjGpqDXGB8IHb662A,305
UC0CG8Kj2DqFc9bJld0hJKBA,306
UC0CbUVRC1d1RvunYbp3w2qQ,307
UC0D-9f6I46bQQn8_e18fR8A,308
UC0D4TPONTJ6cppMxQ9SD97g,309
UC0DAJW9IjtV4lIz7dDVDBFA,310
UC0DM_mHV2u6dj8ig51GkQwg,311
UC0DZmkupLYwc0yDsfocLh0A,312
UC0Dv1y_n3yeZ5tgB96oJ95w,313
UC0EUI4xA5SB6WswqLavNcyA,314
UC0Ew_IKrJ7sayXY4Dom5Xmg,315
UC0FEwM95qDiiY10QTgyiCmg,316
UC0FFFneMi9GwRHUsuBjM0jA,317
UC0FXfjJhmlEBjXDcBEkoNCg,318
UC0FvBPKV6s_Hr_KvNaoGl5Q,319
UC0GLNhtTu7yI8rl6ZZGeezw,320
UC0G_81bQtShWWVUPAhoVfCg,321
UC0Gb9wxH8cvheXi_X9q5Isw,322
UC0GdxTEc2SqPVj0MCdBtBKQ,323
UC0GgioZ1XWa9xNJJH66h7rg,324
UC0H6I4rKiHmtceSdTCM-DKQ,325
UC0Hg2Ks00kCekyjZG_LxOmg,326
UC0IWRLai-BAwci_e9MylNGw,327
UC0IXvMUUPeYNVGe88ieMDEg,328
UC0Ihuy4gj2w-AYEQXRnUdUA,329
UC0Ik25PHaiHCbfGrzu-lBFQ,330
UC0Ize0RLIbGdH5x4wI45G-A,331
UC0J8BQahplvTY6LjlnLf_NQ,332
UC0JB5IZPFHvzP1aHzYTJiCw,333
UC0JH7Pdkk7JNZtCXd2YjP9g,334
UC0JhlRkfXzvAJehuEeVjqpg,335
UC0KAFLxIiaR_FFNYDL3utGw,336
UC0KF79lLfea_qVk1A1aPsBg,337
UC0KT03NPnN-j4HGzetW9Lpw,338
UC0KU8F9jJqSLS11LRXvFWmg,339
UC0KdD41_dzHdDF1b1bN4cSw,340
UC0KfjyvabuE2J-RBC6ko2Lw,341
UC0Kgvj5t_c9EMWpEDWJuR1Q,342
UC0KhRfP4PWrMvLNdklr4sbw,343
UC0KiGuCTrehqzSQ7ikjxSQw,344
UC0L1suV8pVgO4pCAIBNGx5w,345
UC0M0rxSz3IF0CsSour1iWmw,346
UC0MYNOsIrz6jmXfIMERyRHQ,347
UC0Mq4CyJrMI9fvyy0inmhdQ,348
UC0Mr5QcX7nG0oSfBrcf-IYw,349
UC0NV63T5Uj_Gh8CoZ6UcIfQ,350
UC0NaWwWghJD37rMK2AYDidg,351
UC0NdkLdik4nyugI9AqlOtYg,352
UC0NjSG_gbGRuc2XxkgIb-yw,353
UC0NwzCHb8Fg89eTB5eYX17Q,354
UC0O9g3nxkVcP1UmuoDnQ58A,355
UC0OjtqHqaKjetE-4oziYWug,356
UC0Om7exUz4_yM_zjXezpt8Q,357
UC0OnAjC52vtL_N3f76BU9dw,358
UC0PKLLmL8pIJLjOI1gBH_pA,359
UC0PMQXAwF6O6aeTpv962miA,360
UC0PPuloGGVMIAOa42vpmn7Q,361
UC0PTktRYpZXb6On0_zFKWIg,362
UC0PXqiud6dbwOAk8RvslgpQ,363
UC0PaoSxEK2nEmO-Mtk2vGWA,364
UC0QHWhjbe5fGJEPz3sVb6nw,365
UC0QKbvP4XKGCw5s4iSXGywQ,366
UC0QKe0NgW-b0oZvnB5vqiJw,367
UC0QpXwNHik1793EYNGZcOoA,368
UC0QvUM4CyduRrtghCA8dMlg,369
UC0RBTQIYLEQbcahZWkmzeTQ,370
UC0Rp4wkphkKwnL2qJB8XnKw,371
UC0S1UfrdQDUlYzj4RQMuoEA,372
UC0S4TBEsQgiyMJaZ5z1w_Mw,373
UC0S5w-TQJywcsni8ZMzgqkg,374
UC0SFwkGlQonlP69Lb9Gdb-w,375
UC0SIHdEcfg4BsM8X5tixwHQ,376
UC0T7tvy44mlQCjaTtparOZw,377
UC0Um3pnZ2WGBEeoA3BX2sKw,378
UC0VN6My1ueOFXDTgzMZSSNQ,379
UC0VNRvMijMy6DtM9UgX46Og,380
UC0VOyT2OCBKdQhF3BAbZ-1g,381
UC0VVYtw21rg2cokUystu2Dw,382
UC0W6NYJ_y7cd3laVfaSOl0A,383
UC0WP5P-ufpRfjbNrmOWwLBQ,384
UC0Wju2yvRlfwqraLlz5152Q,385
UC0WpBLqS4o_cRdMv6yBcT9g,386
UC0WxHitHehC-gm3r2BYV_FA,387
UC0XBdK3gm_7ezobbPAloccQ,388
UC0XKvSq8CcMBSQTKXZXnEiQ,389
UC0YG5UA1s2gLb5tDfUCIWtg,390
UC0YatYmg5JRYzXJPxIdRd8g,391
UC0YlEgUpFF3pepqyfGKN31Q,392
UC0YvTCy1I4_a-3pn47_5DBA,393
UC0Z2kSgKAHFRmcoQAYLvOlw,394
UC0ZV6M2THA81QT9hrVWJG3A,395
UC0_AziIovFE4qYOqbx3ukOQ,396
UC0_MIBGcg9HycPJuqslVEjw,397
UC0aMPje3ZACnQPKM_qzY0vw,398
UC0aXGG4J16PmxgZo10Nzk6A,399
UC0aXrjVxG5pZr99v77wZdPQ,400
UC0ahC64OhIAS11TJX9Ig86A,401
UC0avk6i7f9ZYFfORXMgZxlA,402
UC0c2BU4IW_eulz3vVyO7goQ,403
UC0cHVZAeY_qxI7Z-7nJFXkg,404
UC0cd_-e49hZpWLH3UIwoWRA,405
UC0dQFymlTdbTuj4pLZd80uQ,406
UC0dtFVG8ppG325ggtXLUpIw,407
UC0e3QhIYukixgh5VVpKHH9Q,408
UC0e3ennzBrYFoeTdlgAMgIg,409
UC0e4Rnb9u7b2YBWQN7e7B6A,410
UC0e6qNVupPsR_DvdCm4NahQ,411
UC0eLBYhxW9HC0P9PXQ73mpQ,412
UC0fXNmjDoC7ckPyT6qM8Urw,413
UC0fiLCwTmAukotCXYnqfj0A,414
UC0flZJIclTtCfTS3G7aAVRw,415
UC0fvGpDXi7sV2hbgD-O47yw,416
UC0g898YlZi90Bet3A7Al5Pw,417
UC0gEw6pgNkLkkzMwzX4UtHA,418
UC0gOw4iy-6HwO01q-gA1B0Q,419
UC0h07r_UgTD0Tc-Dn5XLX3g,420
UC0h0LUdndpq1CU8gv71sJ4A,421
UC0h0a535Q4o1xtCvGLnL7Ng,422
UC0h4JWSv8dtUW6A_2fbuYKQ,423
UC0hWgcc02QfOJiSZ24c4uKQ,424
UC0hy7TcR1gGD8nQBqrF2FaA,425
UC0ie8zLKqOUaYzNbKNu8zlQ,426
UC0ifXd2AVf1LMYbqwB5GH4g,427
UC0intLFzLaudFG-xAvUEO-A,428
UC0jPwNs4B7yJySNewHan5hQ,429
UC0jYsRTJinyj5mQSY96WByw,430
UC0k173Oca1nPZurW2ITHlYw,431
UC0k238zFx-Z8xFH0sxCrPJg,432
UC0k5ulMTxHlUzzJRnOtBRMA,433
UC0k91MwJuS5VvNOJdbDhPYA,434
UC0k9PfNjEkzISBnSk43mzvQ,435
UC0kTZ3JppUFIitb7KhuDx7g,436
UC0k_TyDiwTHdLNqq3A5d83g,437
UC0lkCn7D--uMrtwAXRj_cdw,438
UC0mJA1lqKjB4Qaaa2PNf0zg,439
UC0mUI4iBn1ptBZFj_mc35kg,440
UC0m_NUHHaR8MnGDrNpRKtgA,441
UC0n7hqQFFEZnwxrcVh09uVA,442
UC0naxH1ZGg_hmVBX6gKDeNQ,443
UC0ng0jJflTuJBBH5DGvr1Pw,444
UC0oK8s58FCWQUePi32hWhdw,445
UC0ogDiZqeWlr4lOcYEf-cew,446
UC0ohl1eKTtlJNqbD-HWRQVg,447
UC0otZdGYsA9KqVKAcn2peQA,448
UC0ox9NuTHYeRys63yZpBFuA,449
UC0p5jTq6Xx_DosDFxVXnWaQ,450
UC0p5tBJyylhgBXS9BhjWmow,451
UC0pFEFO86OwhVUcqAQ4ICjQ,452
UC0plk8ZbRs_AxIRzQ2lED_w,453
UC0psAD-M4X6O0yC_hFRK4hw,454
UC0qI3HpiBua75glb4RV5mWA,455
UC0qrcKuayvbMtPj-WXNFylA,456
UC0rDDvHM7u_7aWgAojSXl1Q,457
UC0rE2qq81of4fojo-KhO5rg,458
UC0rZoXAD5lxgBHMsjrGwWWQ,459
UC0r_-7jgl1yl0oWzGEJ6o3w,460
UC0ruTWfb3ri9KbURxO4n0_A,461
UC0s-zcf0VeeDwdWVte8cXCQ,462
UC0s9-UL3fSEEnEI76Ch_wHw,463
UC0sA4gvlWFHfdwaPlBDqnGg,464
UC0sL86jDLgs2fGRD-XBnPQA,465
UC0sRFf9xyBHgb3_G0ZYPnLQ,466
UC0sVahwZgKFHjOBaxvm-a7Q,467
UC0t0J2yEYozG-oVLkW8VgIw,468
UC0tq0g5u2bo-TErZt7SJM6w,469
UC0trTJPuBqkppbEcF_6xFtA,470
UC0ubL2C-sD3QCTv2nrfIkMA,471
UC0udgVvsJRuH4WfuIuRPSiw,472
UC0v-tlzsn0QZwJnkiaUSJVQ,473
UC0vBXGSyV14uvJ4hECDOl0Q,474
UC0vRcJh1-GQL_V4qm5F6xFw,475
UC0vT2ZuZxpNSnJ5AO0FVqRw,476
UC0vlr5Yrfb4YaQkp9k93ryA,477
UC0vn8ISa4LKMunLbzaXLnOQ,478
UC0vw9w8lyZLgx222zM3zvwA,479
UC0wNSTMWIL3qaorLx0jie6A,480
UC0weja9nEaDcaiuUr8l_BuA,481
UC0woBco6Dgcxt0h8SwyyOmw,482
UC0x7BynaZB91oDBp8UT7sXw,483
UC0xPGXzaQgd13fcakY3751A,484
UC0yApU19PqATWGp-dw9WgBA,485
UC0ymOwjW6A3Q_RQZ4Sr7RNA,486
UC0ytp1lNorcDrZ_yz1Zm1_Q,487
UC0zKneMvRlkTCmgD6c_Yhtw,488
UC0zNh-ziiMzBZqTGx_YpKXw,489
UC0zXnLIFedO97pFsyMxZcFg,490
UC1--Lh0c2PhkyRxpvNcXWaA,491
UC1-34EUxbl81v02EXowfoyg,492
UC1-BQ2oxqBVtCjMHF-Wf98w,493
UC1-IfpTvGH27BFOjzwYCUWQ,494
UC1-Ru6RKUnkOJHN-Eq0uPYg,495
UC1-kVCePEK9O0fi4W5iZzIw,496
UC1-rEza0WzMBEYPP4hoA4Ow,497
UC10Tc1mzoPTibXDyVXFf9fw,498
UC10pJ5AQ7e7nadBOtINDX6Q,499
UC11-LdZRubZwoVid03rJv6A,500
UC11OPzwn5Wt0-LN3rARunmg,501
UC11PvrGPzo6Y7Zc6-e9cAKg,502
UC11Y936BwQu8GSFBI2RKIhA,503
UC11pAvA_SBpnzsiwS1K_Kvg,504
UC12ClG0_7aPLNdRNNl_4zTA,505
UC12Ku0_2bhNsreyaoZH9raQ,506
UC12TJuAinGez1OI-pDYmNzg,507
UC12_HhJo54uqZ5m6xCjoOFA,508
UC12jzVACGeiHDCj_1wZ2tog,509
UC13mSI38YWz5zfvxXDPpePA,510
UC13w4dxfIGf_MM2qtyJ1aSA,511
UC142-qvFgwSS6UIU-fFCd6w,512
UC14UlmYlSNiQCBe9Eookf_A,513
UC14d4SF8PHtsz2W4HJSl2jw,514
UC14uPbzarSwWN6WXS59Qd4A,515
UC153p94YnsyQZGXkLnHDzNQ,516
UC154uboA-SfwiP5DtwBMgwg,517
UC15plGNCMRkMmREMNkbYJPA,518
UC15q5BLR7_Be6SM7S_6WwnA,519
UC15sUwufvfo5Z62KBZVzHRQ,520
UC160Ln3rSb3Ym2iUxJasZVw,521
UC16niRr50-MSBwiO3YDb3RA,522
UC176GAQozKKjhz62H8u9vQQ,523
UC177gwdLQMnesuSUXdTyWSA,524
UC178kThBUvGNps5cabRP_2Q,525
UC17IH_7LhXszAU-SB1wvx_A,526
UC17_aMbsbwtzpa4-SUlDEOw,527
UC182bQkSg8qcqUnt2Ku9Ewg,528
UC18NaGQLruOEw65eQE3bNbg,529
UC18W5NUm52R5nqnbwWVe87Q,530
